image_id,split,image_path,width,height,total_labels,small_labels,medium_labels,large_labels,small_ratio,border_object_count,border_object_ratio,density_level,small_object_level,dominant_classes,roi_best_by_small_efficiency,roi_best_by_small_coverage
0000002_00005_d_0000014,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000002_00005_d_0000014.jpg,960,540,82,58,24,0,0.7073170731707317,2,0.024390243902439025,medium,many_small,car|people|pedestrian,horizon,density
0000002_00448_d_0000015,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000002_00448_d_0000015.jpg,960,540,85,74,11,0,0.8705882352941177,12,0.1411764705882353,medium,many_small,motor|pedestrian|car,center,density
0000003_00231_d_0000016,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000003_00231_d_0000016.jpg,960,540,39,36,3,0,0.9230769230769231,4,0.10256410256410256,medium,many_small,car|pedestrian|van,center,density
0000007_04999_d_0000036,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000007_04999_d_0000036.jpg,1360,765,57,0,42,15,0.0,14,0.24561403508771928,medium,few_small,truck|van|car,horizon,horizon
0000007_05499_d_0000037,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000007_05499_d_0000037.jpg,1360,765,60,1,36,23,0.016666666666666666,15,0.25,medium,few_small,truck|van|car,horizon,horizon
0000007_05999_d_0000038,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000007_05999_d_0000038.jpg,1360,765,40,1,30,9,0.025,5,0.125,medium,few_small,car|van|truck,horizon,horizon
0000008_00889_d_0000039,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000008_00889_d_0000039.jpg,1360,765,14,0,0,14,0.0,5,0.35714285714285715,low,few_small,truck,horizon,horizon
0000008_01999_d_0000040,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000008_01999_d_0000040.jpg,1360,765,18,1,8,9,0.05555555555555555,8,0.4444444444444444,low,few_small,truck|car|van,center,horizon
0000008_02499_d_0000041,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000008_02499_d_0000041.jpg,1360,765,12,0,5,7,0.0,4,0.3333333333333333,low,few_small,truck|car,horizon,horizon
0000008_02999_d_0000042,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000008_02999_d_0000042.jpg,1360,765,47,10,24,13,0.2127659574468085,15,0.3191489361702128,medium,some_small,truck|car|van,horizon,horizon
0000008_03499_d_0000043,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000008_03499_d_0000043.jpg,1360,765,27,1,14,12,0.037037037037037035,11,0.4074074074074074,low,few_small,truck|car|van,horizon,horizon
0000008_03999_d_0000044,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000008_03999_d_0000044.jpg,1360,765,27,5,7,15,0.18518518518518517,10,0.37037037037037035,low,few_small,truck|car|van,horizon,horizon
0000008_04499_d_0000045,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000008_04499_d_0000045.jpg,1360,765,26,12,8,6,0.46153846153846156,2,0.07692307692307693,low,some_small,car|truck|pedestrian,center,center
0000010_00569_d_0000056,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000010_00569_d_0000056.jpg,1360,765,45,1,32,12,0.022222222222222223,11,0.24444444444444444,medium,few_small,car|van|truck,horizon,horizon
0000010_05149_d_0000057,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000010_05149_d_0000057.jpg,1360,765,57,22,33,2,0.38596491228070173,7,0.12280701754385964,medium,some_small,truck|van|car,center,density
0000010_05291_d_0000058,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000010_05291_d_0000058.jpg,1360,765,58,9,44,5,0.15517241379310345,10,0.1724137931034483,medium,few_small,van|car|truck,horizon,uncertain
0000013_00465_d_0000067,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000013_00465_d_0000067.jpg,960,540,92,79,13,0,0.8586956521739131,5,0.05434782608695652,medium,many_small,pedestrian|people|motor,horizon,uncertain
0000016_00420_d_0000068,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000016_00420_d_0000068.jpg,960,540,46,40,6,0,0.8695652173913043,0,0.0,medium,many_small,pedestrian|people|motor,horizon,horizon
0000016_01352_d_0000069,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000016_01352_d_0000069.jpg,960,540,61,47,13,1,0.7704918032786885,5,0.08196721311475409,medium,many_small,pedestrian|people|motor,center,density
0000030_00754_d_0000036,train,D:\AIP491\AIP491-G17\data\processed\images\train\0000030_00754_d_0000036.jpg,960,540,131,105,26,0,0.8015267175572519,23,0.17557251908396945,high,many_small,pedestrian|people|motor,center,density
